Comment,Annotation
Phut dalo Raj Karo,Hatespeech
are bhai ye dogle news wale hai,Hatespeech
bilkul sahi baat hai bahut esi bate hai jab ek cow doodh Dena chodti hai bahut log usko chod deta hai aur vo doodh hote bhi hai ki bachade ki liya hote hai kisi insan ki liya nahi gai Mata hoti hai bachda ki naki insan ki  human to use karte hai doodh pete hai jo us pachad ko hote hai ye to hindu dhram pakand hai doodh to bakri bhi deti hai behas bhi deti hai usko to maa nahi bolte ye Hippocrates hone ko nishani nahi to kya phir,Not Hatespeech
​ ki neti,Not Hatespeech
Bbc Wally k kam hi h fit dallo raj karo,Hatespeech
"Dalit bhai yah soch me mat rho ak ho ak ho to Upper cast hindu ko beti se biyah kr ke dekho phir kiya hoga 3 bnadega 
Jab ak manta h to beti biyah krne. Boloo",Hatespeech
"If there is equality, why can't a person from a lower caste marry someone from an upper caste?",Not Hatespeech
नंदकिशोर जैसे अनपढ देश को बरबाद कर रहे हे,Hatespeech
BBC ka agenda chalu hai,Not Hatespeech
Bhranti nhi hakikat h bhai,Not Hatespeech
nandbhai tumhare ankho pe parda pad gaya he pure desh me dalito pe julm hota he jai bhim,Not Hatespeech
"सही हो रहा है।। ये इसी लायक है ये दलित।।
जब दलित विरोधी सरकार को वोट देकर बैठाया है तो पिटोगे तो है ही।।। बिल्कुल सही हो रहा है।।।",Hatespeech
दलित हिन्दू है ही नहीं। हम बहुजन हैं।आगे बहुजन धर्म बन जाएगा।,Hatespeech
Hindu dharma dalitke liy saitan bhut he,Hatespeech
"BBC चाहता है हिंदू दलित और अगड़ों में ही बटा रहे।
बस सही बात तो ये ही है।",Not Hatespeech
Wah BBC puri dalit Chintan ko do teen logo tak simit kar diya ....,Not Hatespeech
दलितों का एक ही धर्म है बाबा साहब भीमराव आंबेडकर जी बाकी हिंदू धर्म bjp की राजनीति है,Not Hatespeech
Aise log ke chalte hi dalit ko sahi haq nhi mil pata,Not Hatespeech
Kya tumne kabhi ved upanishad ya prashant acharya ko suna nahi na agar tum kabhi janne ki koshish ki hoti tab tumhe pata hota mai tumse request karti hu ek bar upanishad ganga jo ki youtube par available hai use samajhne ki koshish karne tume asli dharm pta chalega😊😊,Not Hatespeech
Support to nand Kishore rager,Not Hatespeech
Main hindu dalit hoo Lekin gai ki chamri nahi utar na chahiye😢,Not Hatespeech
"नन्दकिशोर रैगर जैसे लोग हर समाज में होते हैं, जो केवल खुद के बारे में सोचते हैं।",Not Hatespeech
Dalit nich achut untouchables hota he ❤,Hatespeech
BBV bhi godi media ki taraf js raha hai lag raha hai,Not Hatespeech
ज्यादा पढ लिखकर रंडी जैसा काम मत करो,Hatespeech
Aur phir kehty hain kai dalits ko convert kia ja rha hai bhai kisi din tmhary scriptures kholai gai na aur dalits ko samjha agya tu kabhi wo musalman ho na ho hindu nhi rhai gy good bbc and pehly tu social media nhi tha tu kuch bhi kr daity thy dlits kai saat ab nhi hoga ab dalits pr videos bhi aye gi aur ye brahmans nangay bhi honga,Hatespeech
Sirf braman rss bjp hindu hai sc st obc ek hojao bramanbad hatao,Hatespeech
Such bardaasht nhi hota hai tum logo se 😂😂,Not Hatespeech
BBC itne din kanha the,Not Hatespeech
dalito ka istemal kar rahe hai hindu htya karwakwr isse bahar nikle dalit ...,Hatespeech
dalito ke dimag may bhi goo bhar diya in logo ne,Hatespeech
जाति का जहर फैलाओ और खूब कमा कर खाओ. सविंधान तो एक ही आदमी बना गया बाकी सब तो समिति मे फालतू ही थे,Hatespeech
Sanghi brahman ki jali,Hatespeech
"हिंदू धर्म केवल एक ढोंग और कमाने,घर चलाने का एक जरिया है ।
अगर आज हिंदू धर्म में, बौद्ध धम्म की तरह पैसे का खेल खत्म हो जाए तो ये सभी धीरे-धीरे अपने धर्म को छोड़ देंगे।
अगर इनको अपने धर्म की थोड़ी सी भी फिक्र है तो इनको केवल इतना बोल दो की  दवाइयां भी पशुओं की हड्डी से बनाई जाती हैं, जरा  दवा छोड़ के दिखाए।
चमड़े के समान प्रयोग करना बंद करके दिखाए। वगैरह_वगैरह 💯😊",Not Hatespeech
Parshuram Bhaiyaa AAP Abhi Buddhist ho 🙏🙏 apko Apke parivar ko Sadhuwad ❤,Not Hatespeech
घुस खाए है क्या वे बुढ़वा,Hatespeech
😂😂😂😂😂😂 o crisht...,Not Hatespeech
Dalit hindu hai nahi.....hindu parsiya dharm hai.....wo bhi dalito ko jabran hindu bana rahe hain ....,Hatespeech
Dalit hai 😎 To Hindu dharm bacha hua hai... Bra aur Rajchu* vi 😂❤.. Wrna ..... Aukaat nai 10% waale chuhee..😎 kuch kar paaye... Wo to jodha ko akbar ke hawale kr dete hai.. Khair budh bano ambedkar waadi bano.❤.. Samaaj me ekta nai alag chahiye ab❤,Hatespeech
"दलित हिंदू नही है न था न हिंदू होगा 
समझी 
जय भीम नमो बुद्धाय 💙💙💙💙💙💙",Hatespeech
Inko pok chahye😂😂😂😂😂😂😂😂😂😂😂😂😂,Hatespeech
चाचा संघ में दर्री ओर कुर्सी लगाने के अलावा ओर कुछ काम अपके बच्चे को नहीं मिलने वाला।मूंह में राम बगल में छुरी वाला हिसाब है यहां जातिवादी अभी तक है।,Hatespeech
Good Bhai Jay bhim nomo budhey ❤,Not Hatespeech
दलितों को हिन्दू धर्म को हमेशा के लिए छोड़ना चाहिए 🙏,Not Hatespeech
Stop dividing India BBC( The workshop of devil),Hatespeech
You are already divided before the centuries BBC doesn't need to divide you😂😂😂😂,Not Hatespeech
हिंदू कभी एक फ्लैट के नीचे आई नहीं सकते,Hatespeech
"Equality of Human Beings  in Islam

Islam not only recognizes absolute equality between men irrespective of any distinction of colour, race or nationality, but makes it an important and significant principle, a reality.",Not Hatespeech
"मूंछ और घोड़ी पर बैठने ???? 
पर क्या होता हैं शायद इन्हें नही मालूम",Not Hatespeech
दलित कभी हिंदू थे ही नहीं नहीं कभी ना उन्हें हिंदू समझा जाता है  लेकिन मनुवादी ब्राह्मणवादी लोग अपने स्वार्थ के लिए समय समय हिंदू बना देते हैं😮 पर धीरे धीरे दलित समाज शिक्षित हो रहा है और उनके  चाल को समझने लगे हैं हिंदू धर्म के अत्याचार के कारण लोग हिंदू धर्म छोड़ रहे हैं,Not Hatespeech
"भंवर मेघवंशी ने 5 साल RSS रहने के बाद क्यूँ छोड़ा?
https://m.youtube.com/watch?v=Y9_-D32LfkA",N/A
"Best learning at 5.34, 9.54",Not Hatespeech
जिस धर्म में आपको नीचे मानता हो उसे छोड़ देना चाहिए,Not Hatespeech
Muslims and dalits should unite  against this lindus,Hatespeech
I was born Hindu  but I promise I don't die Hindu,Not Hatespeech
"mene yh sb jheela he,, nafarat he hindu dharm se",Hatespeech
नंद किशोर  रैगर  कायर है वो नैना चार करते करते बिस्तर पर सो गए😅😅😅,Not Hatespeech
"Aj bhi jatiwad hoata bahot ,me it engineer hu Bachpan se jatiwad  hua hai ,is liye dharm hi chod. Diya Buddhist dharm  accept kiya ,",Not Hatespeech
Hinduo ko bata ja rh hai,Not Hatespeech
"जो दलीत आंबेडकरी विचार पे चला ओह इन सब जाती,धर्म को छोडकर इन अंधविश्वास ओर पाखंड को मिटाने मे विश्वास रखता है ओर ईसे मिटाना ही आंबेडकरी जनता का लक्ष हैं....हमे किसी धर्म जाती का विरोध नाही है पर जो जाती,धर्म के नाम पर उच,नीच ओर अंधविश्वास को बढावा देता है हम उसके विरोधी है...चाहें ओ कोंसा भी धर्म हो....आंबेडकरी होना यांनी झूठ ओर नफरत का सामना करना हैं..जय भीम..जय भारत.",Not Hatespeech
Musalman sc/st ka dusman hai I proud adivasi,Hatespeech
Sc st obc wale koi hindu nahi hote by RSS...fir ye kyo  RSS ke hindu Bane huye hai ??,Hatespeech
Aaj BJP ko Haryana or Rajasthan mai Dalito ne hi Sarkar ne bna rakha hh😂😂😂😂😂😂😂😂,Not Hatespeech
"Even the muslim has same behaviour toward girls. No caste no religion= peaceful world,",Not Hatespeech
BBC hamesha hindu ko batne wale video banata haii ....dalit bhi hindu haii unn parr jo koi atyachar karrein to ye galat haii,Not Hatespeech
हम आदीवासी और दलित हिंदू नही है हमारा ऐसे जातीवादी धर्म से कोई लेणादेणा नहीं,Not Hatespeech
ये मानसिक गुलाम है जो आरएसएस की पाठशाला में झूठन खाके आया है,Hatespeech
Dalit bahut hindu banta hai 😂😂 obc bhi hindu banta hai 😂😂,Not Hatespeech
Tau ka dimak sattak gaya hai rsss vale ka,Not Hatespeech
जागों बहुजनों जागो,Not Hatespeech
बीं बी सी केवल हिन्दुओ को बाँटने का काम करती है भाई मुसलमानो मे 72 जातियाँ है वे सभी एक दूसरे को मुसलमान तक मानने  को तैयार नही है जैसे अहमदिया दाऊदी बोहरा  शिया  हजारा,Not Hatespeech
बाल्मीकि समाज को आरक्षण का लाभ मिले इसके लिए जरूरी है कि सम्पन्न और पैसे वाले गैर बाल्मीकि दलित आरक्षण को छोड़ें और बाल्मीकि समाज को आगे बढ़ने दें।,Not Hatespeech
BBC wale ke pass sahi news nahi hai,Not Hatespeech
Chicha trained sanghi hai 😂,Not Hatespeech
Bhai sahab BBC kya karna chahta,Not Hatespeech
"राजसमंद,शंभूरेगर की कालोनी से",Not Hatespeech
Brahaman.... Th akur..dalit..par.jada.Julm..karte.hai,Hatespeech
Shame on hinduism jisme hinsa bhara hua hai...,Hatespeech
समाज चुनौतियों से नहीं नंदकिशोर जैसे चुटियो से परेशान है 😡😡,Hatespeech
दलित जिधर कमजोर है उधर पीड़ित हैं और जिधर बराबरी मै है उधर हिंदु है और जिधर मजबूत है उधर उनके जंवाई बने हुए हैं 😅👏,Not Hatespeech
💯 sahi baath..,Not Hatespeech
💯 sahi baath...,Not Hatespeech
"Bbc matlab kya,",Not Hatespeech
Hindu dharm sabse shreshth hai duniya mein,Not Hatespeech
जय वाल्मीकि जय श्री राम 🙏🙏🙏,Not Hatespeech
Any religion  men Indian  holy killing  is big crime in India. Because  every Indian  is regarding     .,Not Hatespeech
I am regar from rajsthan but in jaise logo ka sath nhi deta jai bhim 💙,Not Hatespeech
Bus dharm chhodne ka bahana chahiye yaa toh sari cheez free mein do toh yeh dharm ke sath jhutey ke liye judenge,Not Hatespeech
Me bhi regar hu from rajsthan but ham baba saheb ko hi punrup se mante h aur gaav me h toh chuhchut hota h but ye log nokari lagne ke baad baba saheb ko bhul jate h but ham nhi bhulege jai bhim 💙,Not Hatespeech
किसने जबरदस्ती की आप अगर हिंदू है तो आपको मंदिर और पूजा पाठ करना अनिवार्य है  कितने हिंदू है जो मंदिर नही जाते क्या वो हिंदू नही आस्था अलग चीज है अंधविश्वास अलग जो लोग ज्यादा पूजा पाठ करते है वो सबसे ज्यादा अंधविश्वासी होते  है धर्म भी ऐसे ही लोग छोड़ते है ऐसे लोग कही भी चले जाए  किसी भी धर्म  में जाए उनको कही भी  संतुष्टि नही मिलती आत्मा शुद्ध है तो परमात्मा आपके साथ है लालच लोभ  आपको नर्क में ले जाता है,Not Hatespeech
लंदन में दलितों की स्थिति क्या है उसे पर वीडियो बताइए,Not Hatespeech
Ye aadmi bada andh bhakt hai,Not Hatespeech
शिया सुन्नी पे कुछ सिखाओ,Not Hatespeech
Kattar Hindu valmiki pasi and others caste hoga but chamar and jatav nhi hoga itna mai bahut responsibility se kah skta hu😂😂😂😂😂😂,Hatespeech
BBC muslim ke upper video bana gand me ddam hai to,Hatespeech
"इस देश में कोई दलित नही कोई सवर्ण नही है , सब एकबराबर है , बस कुछ लोग पिछड़े है कुछ प्रगत है ,
ओर धर्म अलग है लेकिन सबका मकसद इंसानियत है,  ओर पाखंडी लोग द्वेष करवाते है.",Not Hatespeech
Dalit aur aadivasi Hindu nhi hai  😊😊,Hatespeech
"Tere jaise chutiya ke pathe daliton ki
Vajah se hi Hindu daliton ka exploitation karte hai , iss murkh ko 
Sab namaskar karte hai itne m hi ye
Kutta khush ho gaya saale shakal
Thik nhi hai to kaam to thik kar.
Inderpal valmiki",Hatespeech
Why Lion is not anti Hindu... It kills cow ???,Not Hatespeech
Dalito jab tak ak sath mil kar upper cast ko oppase nahi karanga tab tak ya hamsa bhed bhaw karta rahenga,Not Hatespeech
Dalit bhai tum sab baba sahab ka Dharm apnao waha aap ko barabari mulege,Not Hatespeech
Hum baudh h hindu nhi,Not Hatespeech
विराम सरवईया  से पूरी तरह संतुष्ट  हू 🎉🎉🎉❤❤❤❤❤,Not Hatespeech
"Aaaj SC , ST , OBC hi Hindu Dharma ke sabse bade raksha bane hue Hai..
Hadd Hai inki😂😂😂",Not Hatespeech
दलितो पर हो रहे अत्याचार पर लगाम लगाने के लिए एक कदम आगे बढाये बैठे बैठे कमेंट करने से कुछ नही होगा हमें सरकार तक आवाज उठानी होगी अपने नंबर पर कमेंट करे,Not Hatespeech
सही किया बहुत सुंदर,Not Hatespeech
नंदकिशोर रैगर जी को सिर्फ खुद से मतलब है उन्हें अन्य दलितों पर हो रहे अत्याचारों से कोई लेना देना नही है ये वैसे ही है जैसे एक दलित सरकारी नोकरी प्राप्त करके अपना घर दलितों की बस्ती की जगह अन्य बस्ती में बना लेता है और जिस आरक्षण से उसे ये नोकरी मिली है उसको ओर उसके लिखने वाले दोनों को भूल कर कहता है में खुद की मेहनत से कमा रहा हूँ,Not Hatespeech
"भीम का ही सहारा रह गया अब ISIS ki सोच रखने वालों के पास,लेकिन भीम के संविधान को तभी तक इज्जत देंगे जब तक दारुल हरब है उसके बाद तो दारुल इस्लाम जब होगा तो सरिया चलेगा, सभी दलित भाइयों से निवेदन है कि इनके यानी गोले टोपी के चक्कर में ना आएं ,ये वही लोग हैं जो बामियान में बुध की ऐतिहासिक मूर्तियों को तोड़ते हैं",Hatespeech
Dono hindu muslim se savdhan rehna padega  ek sc st reservation ki against hai dusro sc st ko use karte hai dono khatarnak dalit log ki liya hindu bhi muslim bhi,Hatespeech
"बेवकुफो,,, क्यों लड़ रहे आपस में कांग्रेस ने भी मुसलमान,,,सरोज खान को दामाद स्वैकारा,,,,अब बीजेपी के दामाद बहु का भरमार,,,,पढ़ो लिखो आगे बढ़ो,,,,बीजेपी मनू वादी आदिवासियो के दुश्मन,,,,,कब अकल आयेगा तुम्हे",Hatespeech
BBC bahut hi ghatiya chal chal raha hi ye bbc east new india.     company hi,Not Hatespeech
BBC  western based platform phle to ye dikhayenge hinduism is bad then convert into Christian.but ye nhi dikhyenge nobel prize winner mother teresa ne kitne bure kaam kiye the yaha tak ki mare hue bachoo ko christian me convert karti thi ye tumhe koi nhi batayega kyoki phir christian se bharosa uth jayega .youtube par search karo video on mother teresaa by gaurav takhur ya kamdev tumhe sab pata chal jayega.,Not Hatespeech
मैं बिहार से हू यहा तो राम के नाम पर सब हिंदू हो गए है यहां तक की दलित हमारे शादियों में हम उनकी शादियों में भी जाते है तो मुझे लगता है बिहार दलित मानसिकता को छोड़ हिंदुत्व की ओर अग्रसर है अब बाकी राज्यों की बारी है,Not Hatespeech
अभी अंधभक्त सिर्फ दलित है बाकी के सब जाति के लोग ठीक है ।,Hatespeech
"Mujhe lagata hai ki Dalit on ko boddhye dharam ki vikrutiyon ke bare nahi bataya jata,vo sab vahan bhi hai jo Hindu dharam me hai arthat, hinyan niche tabke ka hai aur mahayan unche tabke ka ,narı Shoshan bhi dharm ke naam par khub hota hai jo us dharam ko gudhta se jamane par hi pat chal sakata hai.",Not Hatespeech
Ye bbc muslimo ke favour mein ha,Not Hatespeech
मोदीजी और उनके सभी भक्त झूठ फैलाने मे विषगुरू है,Hatespeech
"Dalit hindu bankar apne hi pairo par kulhadi maar Raha hai,,, dalit apne dushmano ki gulami kab Tak karte rahenge pata nahi,,, BABA SAHEB B R AMBEDKAR ji ne thik hi kaha tha,,, daliton ki durdasa ka karan keval hindu dharm nahi hai balki khud dalit bhi utna hi jimmedar hai kyuki daliton ne hindu dharm chhorne ki jagah iski gulami ka raasta chuna,,, isliye usne ye nara diya,,,paro sangthit raho aur apne haq ke liye sangharsh karo aur lado.",Not Hatespeech
BBC ko Thanks,Not Hatespeech
Natural selection is law of nature and nobody can change.,Not Hatespeech
Nand kishor jaise log bevkuf hain,Not Hatespeech
Abhi kashmir files jesa pure bharat hona chahiye,Not Hatespeech
Why not  you talking  about England  their Economy gone too down  peoples suffering  badly  they can't  pay rent even just Pakistan and BBC about India  talking,Not Hatespeech
"दलितों की ये तीन जातियां 
रैगर, पासी, खटीक, भंगी जाति खुद को बहुत बड़ा हिन्दू मानती है।
ये ही लोग मुस्लिमो से ज्यादा नफरत करती है हिंदुओ की तरह",Hatespeech
"यह बीबीसी हिंदू विरोधी और भारत विरोधी चैनल है, मैं खुद सुमित जाटव, सनातनी हिन्दू ❤",Not Hatespeech
Bbc working on their own western agenda.,Not Hatespeech
Kush logo ki glti se sabko glt na samjo bhai,Not Hatespeech
Baba shab ka mandir bn Gaya h wo bhagwan h,Not Hatespeech
Valmiki ji hindu dharam me sabse uper h or ye unke h,Not Hatespeech
Jai shree ram 🙏jai reigar samaj❤️,Not Hatespeech
Jay bhim jay savidhan SC ko buddh ki sharm ke Siva kohi nahi bacha sakta,Not Hatespeech
"Good vashram ji
Jai samvidhan",Not Hatespeech
यह चाटुकार है संघ का,Not Hatespeech
Peacefull community spreading peace All over India,Not Hatespeech
संघ संचालक क्या अपनी बच्चियों की शादी तथाकथित दलितों के लड़को से करेंगे अगर सभी समान है तो???,Hatespeech
मै भी तथाकथित चमार जाति से हु...... जाति जानते के बाद लोग ऐसी दुरी बनाते है जैसे रौशनी में परछाई.,Not Hatespeech
"हिंदू धर्म खतरे में है शायद इसलिए की इसमें बहुत सारी कमियां है और समय के अनुसार कमियों को ना सुधारा जाए तो खत्म हो जाएगा । प्रकृति का भी यही नियम है, सिर्फ संभिधान में बदलने की बात न करे अपने अपने धर्मो में भी बदलाव करना जरूरी है। प्रकृति में जो भी जीव वस्तु है सभी समय के अनुसार सुधार करता रहता है इसीलिए टिक पाता है वरना नाला में जमा हुआ पानी के जैसा सड़ के खतम हो जाता है।  गलत बोले तो माफ करना 🙏🏻",Not Hatespeech
Dalla nandakishor 🍆🍆🍆🍆,Hatespeech
Jai bheem namobudhay 🙏🙏🙏,Not Hatespeech
Brahmana muslim agenda khara kar obc st sc ke aam muddo ko bhatkati hai,Hatespeech
Nandkishor ki akl jald hi thikane par ajayegi😅,Not Hatespeech
BBC IS ONLY A PROPEGANDA FOR ANTI INDIA,Hatespeech
Raigar jaise dalit apne ko Hindu samjhane lage...they are brainwashed by RSS (Hindu terrorist organisation)..accha hai in logo ke muh par mootate hai brahminwadi log..inki ladkiyo ka balatkar ...ye saale raigar jaise dalle apne samaj ko badnaam karte hai .,Hatespeech
Congratulations Dalit bhai log 🎉🎉🎉,Not Hatespeech
Hey re Hindu,Not Hatespeech
Hindu is not a relign its a business,Not Hatespeech
Beauty of Hinduism,Not Hatespeech
bbc kabhi british ke colanisation ke bare mai v batye kaise bengal mai food sort jaliyawala baag lakin inhe sirf hume kamii dikhti hai abhe guyana ke president pele hai inko kuch din or rhuko log khud hi bbc ka doglapan dikh jaiega,Not Hatespeech
bbc ka rona chalu hai,Not Hatespeech
इंसान बनो गंदे काम छोड़कर इंसानियत के रास्ते पर चलो शराब मांस बीड़ी सिगरेट तंबाकू झूठ चोरी ठगी हत्या करने वाले नीच है गंदी जाति के हैं जो ये कार्य नहीं करते हैं वे सच्चे इंसान सनातनी ह,Hatespeech
"हिंदू धर्मा मध्ये जन्माला येणे माझा दुर्दैव आहे.
हिंदू म्हणून जन्माला आलो म्हणून हिंदू म्हणून मरणार नाही.
~Dr.B.R.AMBEDKAR",Not Hatespeech
Dalit Hindu lion hota hai,Not Hatespeech
खासकर कुछ राज्यों के चमारों में,Not Hatespeech
दलितों के दिमाग में गोबर भर दिया है संघ ने,Hatespeech
Nand kishor moorkhta ka praman de rhe h,Not Hatespeech
nand kishor ji ko jara mandir to bhejo kya ghusne denge,Hatespeech
dhire dhire hamara mind wash kiya gaya,Not Hatespeech
Dalit chutiya hai sb enko kitna v samjha lo samjhane wale nahi hai,Hatespeech
Dalito bhaiyo garv se bolo hum hindu hai........ 😅😅😅😂😂,Not Hatespeech
Rss देश को गृह युद्ध में धकेल रहा है,Not Hatespeech
वसराम 9:54 ने सही काम किया,Not Hatespeech
Britishers ka ye propaganda channel kabhi nhi chahega ki kisi desh me shanti rhe...Britishers follows divide nd rule.,Not Hatespeech
गाय अगर किसी की माता है तो वो सड़कों पर क्यों है उसको अपने बेड पर सुलाओ ना,Not Hatespeech
Please raise dalit's voice there are so much discrimination and atrocities are happening in villages.,Not Hatespeech
Rigwaidic karmasidhant  ka palan kar hi sanatan.ki rakshha hogi,Not Hatespeech
दलित देश की मूल आबादी है,Not Hatespeech
It is very good know good and bad part of the society 🙏,Not Hatespeech
संघप्रमुख दलित को बनाए,Not Hatespeech
दलित निजी स्वार्थ के लिए अपने ही समाज और मानवता को भी नीचा दिखाने में कोई कसर नहीं छोड़ता।,Hatespeech
"Hod machi logo me convert karne ki koi muslim. Christ toh koi Buddha. 
Lakin insaan nahi banna h bas kyu 😢",Not Hatespeech
"दलित हो तो अत्याचार लोग करेंगे ही 😊 बस हमारी इतना दोष है कि हम दलित के घर पैदा हुए ,जन्म किसी के बस में नहीं है , खुद को मजबूत बनाना ही इक मात्र उपाय है ,physically,mentally,and worthly 😊",Not Hatespeech
Proud to be budhist ❤️❤️,Not Hatespeech
"Bogus Broadcasting means
BBC.....
Bohot bada chore",Hatespeech
हिन्दु शेर सम्भु रैगर भाई जय श्रीराम,Not Hatespeech
Out of 140 crores people . Sum 5 6 incident. And you cruel british put this as whole community behaviour. No logic. Less then 0.00001 % .,Not Hatespeech
दलित समुदाय हिंदू समुदाय का एक अभिन्न अंग है❤❤❤❤❤❤❤❤ हिंदू एकता पर बातें होनी चाहिए या पीवीसी जानबूझकर के ऐसी बातें को पहले आता है,Not Hatespeech
Musalmaan ko bhi sudra btaa raha bbc,Hatespeech
Dalits are  hindu only when hindutva is in danger 😂😂,Hatespeech
Dalits should adopt Buddhism or sikhism,Not Hatespeech
मोहतरमा जी बदायू के बारे कुछ गया दे दो😢,Not Hatespeech
Jab se bjp ki sarkar bani h .tab se mahol kharab h,Not Hatespeech
BJP RSS ka hindu dalit muslim ..cmaar bangli pasand nahi hai,Hatespeech
"Modi bhagao sc, st, OBC",Hatespeech
बाई क्यासा राम जो संभुवाद किया था,Not Hatespeech
Hats off bbc for truth story we watch,Not Hatespeech
Is gujrati vaypari ko bhagao aur desh bachao,Not Hatespeech
"AARE VETIKAN KE DALAL...HINDU KO DIVIDE KARTA HAI...DALIT KO CHRISTIAN BANAYA,AFRICA KE LOGO KO CHRISTIAN BANAYA ISAKE MAYNE TO BATAO.KENYA KE LOGO KO CHRISTIAN BANAYA NARAK BHOG RAHE HAI",Hatespeech
Ye Hindu Aatankwad he,Hatespeech
Taliban n bodh dharm k sare statue afganistan se tod diye . Kbi bodh dharm tha Kabul m jo arab turk hmlswaro n khtm Kiya. Bharat m bhi khilzi n Nalanda m bodh monument ko destroy Kiya.,Not Hatespeech
"What Rubbish,  2nd video m logo ko isliye Peeta kyoki vo gay ki chamdi nikal rhe the na ki vo dalit h isliye",Not Hatespeech
यह सब जातिवाद फैलाकर लोगो को धर्म बदलनै पर मजबूर हौ रहै है,Not Hatespeech
BBC Radri chainal h,Hatespeech
BBC Ko Esme kyo pade ho,Not Hatespeech
BBC Muslim aur dalit ki rajniti kr rhi h,Not Hatespeech
BBC DUNIYA Ka sabse bada muslim sapotr h,Not Hatespeech
Bbc vale tum log chutiya ho,Hatespeech
BBC जाती वाद कर रही है गाय कि समडी निकालने वाला अगर ब्राह्मण या को ऊसी जाती का भी होता तों भी यही हाल करतें ऐसा काम करनें वाले पापी लोग हैं उन्हें जाती से किंयु जोड़ना BBC news को भारत में बेन कर देना चाहिए,Hatespeech
Dalito ko Hindu hone ka ek he rastaa h vo apni khud ki self respect bhula de fir vo Aram se Hindu kahlayenge👍,Hatespeech
"Hindu dharm sirf bhed bhaw karne k liye hi bana hai.
Jai aadivashi",Hatespeech
Sambhu raigar ko gali Dene ka button 👇👇👇,Hatespeech
Ghatiya Soch BBC Ke Repoters Ki Hai....,Hatespeech
Ghatiya BBC Reporter....,Hatespeech
"Pakistan is far better country when it comes to equality for citizens...
Im soon leaving India...just to get equality
Western countries are heaven
This country is for STSC.
DON'T SAY TO THESE BASTA*RDS MISTAKES AND POLICE WILL BE BEHIND YOU LIKE YOU MURDERED.

Because in police also all are those stsc f*ker*.

No place here for a general man here",Not Hatespeech
In Vedas there is no castism.castism are Brahmans made to run society in old times now' castism has expired..,Not Hatespeech
मे एक दलित हु और मुझे पता है की दलित खुद अपनी इस हालत के जिम्मेदार है। 24 घंटे मोदी योगी और RSS करते रहते है,Not Hatespeech
"Bhai Verma kb se dalit huye..... Ar ye modi, Yogi kaha se aaye beech me , president dalit hai , pata nhi ye shabd kisne banaya Dalit , aesa kuch hm to nhi mante.",Not Hatespeech
To kabse dalit ho geye aur yogi aur modi ki mentality jante hai ham tabhi unko criticise karte hai aur ham hi nahi aur bahut karte hai tum sirf ye bhul jata dalit vote ki vajh se tumhare ye yogi jaise log cm bante hai 3 percentage Brahmin ki vajh se nahi,Not Hatespeech
BBC मतलब - ब्रिटिश ब्रॉड cast ki मीडिया..मतलब अंग्रेज कुत्ते...😡,Hatespeech
मे सनातन  हिंदू हुं..लेकीन मुझे जैन राष्ट्र चाईये भारत कारण=पैसा प्रॉपर्टी सब भौतिक सुख होते होई भी वैरागी मोह माया से अलिप्त जीवन जिते हे....जैसे भगवान  बुद्ध जी ने जिया था,Not Hatespeech
हिंदू सिख बुद्ध जैन = अखंड सनातन  भारत,Not Hatespeech
देश का असली दुश्मन मदरसा शिक्षण वाले हे...,Hatespeech
"dalito ko turant hindu dharm chor dena chahiye, hindu dharm ne dalito ke saath sirf bhed bhav kiya hai",Hatespeech
"dalit hindu nahi hai, dalit kabhi hindu the hi nahi",Hatespeech
राहुल गाँधी के पद पर फूलों की वर्षा कर्ता BBC,Not Hatespeech
Bharat parivartan ki rah par hai.. bahut jaldi hi jati ko lekar bhi koi sambhidhan jarur aayega… hosla rakhe.. bahut parivartan aaya hai.. or bhi hoga,Not Hatespeech
बीजेपी दलित विरोधी है,Not Hatespeech
न्युज से बीबीसी की मानसीकता समज आती है🤢,Not Hatespeech
"धर्मांतरित दलीत जो मुस्लिम या इसाई हैं, उनकी आज की सामाजिक स्थिती पर भी चर्चा होनी चाहिए.",Not Hatespeech
Philistain walo se puchhho,Not Hatespeech
Apni apni soch hai alag alag logo ki isme koi galat nhi jis dalit ko hindu rhna hai hindu rahe jisko budhdhist banna hai budhdhist bane,Not Hatespeech
Mujhe apni mail id de mai apko ek photo bhejta hu yahi nonveg jisko Uttar Pradesh se supply Kiya jata hai gulf mai jabki yogi ne apni personal Bhavna ke tehat ban Kiya hai,Not Hatespeech
Pakistan mein hai bhaichara😂,Not Hatespeech
Achha aur jo muslim sandeshkhali ki sc aurato ke sath kar rahe ho uspe kab dhyan jayega tera,Not Hatespeech
Bbc kbhi bhi hinduo pr atyachar ko nhi dikhati hai,Not Hatespeech
Koi Hindu Dhrma ke kisi ke Upar chahe vo dalit pichda ke upar Atyachar kre to iska mtlb nhi hindu dhrma hi chor do Vo भगवान थोड़ी न kuch kr rhee Apne Adhikaro ke liye khud ladoo drke mare  Apna Rasta nhi bdal lena chahiyee😮😢 जय श्री राम🕉💯🙏,Not Hatespeech
This is Pure Propaganda.,Not Hatespeech
Dalits and trials consists 45% of hindu population in India. Both are mistreated due to casteism. If they leave Hinduism than hindu religion will be minority in India.,Not Hatespeech
"थू है, एसे दलित होने पर",Hatespeech
"हिंदू से गंदा कोई धर्म नही, जय भीम",Hatespeech
you are a terrorist . Sudhar jao.,Hatespeech
