Comment,Annotation
"Aajadi ki ladai me pura pura yogdan hai sc st walo ka bhi..pr log unko naukar hi mante ho...unko kha veer kahoge...
Aur agr sc st walo ne sahyog nhi diya hai toh gen wale bhi kaunsa kuch ukhada hai.
sirf apne muh miya mitthu bano.",Hatespeech
"Dalit Ram aur Krishna se alag nahi hain aur upper caste Ambedkar se alag nahi hai......
Aur tu katuwe saale  aag mt laga Hinduo ko apni aurto ko toh unka haq de de",Hatespeech
"Ajay Mishra So you're saying that if people erect a STATUE on a day YOU don't like, then it's OK to burn peoples houses? Stupid logic. No wonder India hasn't been able to deal with it's caste problems yet",Not Hatespeech
"तुम्हारे बोलने से कुछ नहीं बदलता, ब्राह्मण, जैन और मारवाड़ी समाज के लोग शाकाहारी होते हैं ।",Not Hatespeech
This is the reality of Hindu Religion..... Shame on Hinduism... Mere Dalit bhaiyon bahno hindu Religion ka tyag kro aur Christian muslim sikh Buddhist ban jao.,Hatespeech
Indian BBC news me 99.99 percent janral wale hai ye phle apne bare me bhi btae,Not Hatespeech
Hu Uber जब खुद का घर शीशे को हो तो दूसरे के घर पर पत्थर नहीं फेंकते श्रीमान।,Not Hatespeech
Be a budhist,Not Hatespeech
"All is good until they know you are from SC caste
Things suddenly changes yes this has happened to me.",Not Hatespeech
This is the truth of India. I have faced cast discrimination many times in my life.,Not Hatespeech
"BBC propaganda band karo  Bc..
Ye motiii kaun angle se Dalit lag rahi he..
Agar dalit hain b to she is well educated n belongs to creamy layer..
You guys are Patho's",Hatespeech
Being sc cast people is crime in India .,Not Hatespeech
​ tumse jisko tum mante ho bhgwan ki trh uski photo.jala dene se sab thik ho jyga kya na tho sab dharmik grantho mai jativad lokha aur jisme likha wo dharmik book mhi hai jiski tum bt kr  rhe  ho au lr usko koi follow nhi kfta dost  is act ka kal upyog ho rha sach savikar krna sikh lo  data utha ke dekh lena kitna mis use ho rja jai,Not Hatespeech
"Islaam ki maka bochla



Bharat mata ki jai☺️",Hatespeech
Goraksha ke naam par gundagardi se BJP ko nuksaan hota hai,Not Hatespeech
"Convert to Buddhism the most peaceful religion 
Live live with dignity, get education work hard 
Help other underprivileged 
And stay away from Hindu extremists they will never change.",Hatespeech
मोहम्मद और आयशा खुदाई,Not Hatespeech
Caste ko surname se hatana padega tabhi jativad khatam hoga🎉😮,Not Hatespeech
"This is all paid media, I have been in profession for 10 years. My father mother both are govt servant. Point of matter is all the higher management is either SC/OBC in Uttar Pradesh. If  we talk about private industry who care who's cast is what. We all seek survival or growth. Lady in the video do not look as she is suffering. I know few who do but its a lack of education. We must educated our children better.",Not Hatespeech
बस निकल गई हवा,Not Hatespeech
Ab to esa hi hoga,Not Hatespeech
बीजेपी ओर संघ दलितों पिछड़ों आदिवासी समाज अल्पसंख्यक समाज शौषित समाज वंचित समाज करोड़ों बहुजन युवाओं की विरोधी है ओर रहेंगी,Not Hatespeech
Tum kyu nhi alg desh bna lete...ye desh toh unka hi hai jiski wo itni care karte hain..,Hatespeech
Education strong karne par hi safalta milegi.jaroor milegi.jai Bheem.,Not Hatespeech
Wah ye hei hamara Bharat jaha insaniyt Nam ki chiz nahi hai Jay bhim,Hatespeech
"Jai bheem , leave this religion which never reach equality",Hatespeech
Obc sc ki koi ijat nahi hai is desh me,Hatespeech
Ye sab sale Hindu nahi hai atankwadi hai,Hatespeech
बहुजन एकता ज़िंदाबाद,Not Hatespeech
Jatibad khotom ho,Not Hatespeech
संघियो को तो शराब पीते देखा है मैंने,Hatespeech
didi tum pagal ho resetvation bhramno ko chod ke sabko mila hai time ke hisab se ek tim pe rajputo ko bhi mila hai aur  🤣,Hatespeech
Fake news.. Everything is scripted,Not Hatespeech
*BBC news :- TARGETING hindu religion🤬🤬🤬 today UNSUBSCRIBE*,Hatespeech
Dalit hindu hai ishko Todne wale channle india main ban ho,Hatespeech
I am also from Schedule Caste I have never faced this,Not Hatespeech
बाबासाहेब करे पुकार बुध्द धम्म का करो स्वीकार....,Not Hatespeech
reservation ban 😁,Not Hatespeech
"kuch b , GENERAL CASTE ki sabse buri halat hain",Not Hatespeech
yess...we also stopped relationship with neighbours...,Not Hatespeech
Jaisi karni waisi bharni😂😂😂 bahut acha hua😂😂,Not Hatespeech
Now discrimination is not on the basis of caste but on the basis of category,Not Hatespeech
इन्को दलीत सिर्फ व्होटिंग के टाइम पर याद आते है,Hatespeech
haan dono tere baap the na 😂,Hatespeech
"Ye sab aaj bhi hota hai
Par bahot se log ye baat accept nhi karna chahte",Not Hatespeech
Esa nhi hai ye sirf ek show off hai ager esa hai to UP mein kun itna jada jatiwad hota hai kun whan per daliton ko mar deya jata hai kun?,Not Hatespeech
"Obc sc, st jindabad",Not Hatespeech
Mohammed L par,Not Hatespeech
Bhai ye stats kaha se laye batana jara,Not Hatespeech
nahi dono mughalo ke put hai 🤣🤣🤣🤣😁😁,Hatespeech
Madhrchod bbc ko bhart me ban kr dena chahiye,Hatespeech
"ब्रह्मण आतंकवाद चरम पर है ।
😡😡😡😡😡😡😡",Hatespeech
आपको पता है मैडम भ्रमण और ठाकुरो और गुज्जर जाटों के बाद कोन दलितों के साथ सबसे जायदा भेदभाव करता है मुसलमान ये बात सच है। खैर गुज्जर जाट खुद भूल जाते है की वो भी एक दलित कम्युनिटी से आते है। खुद अपने ही लोगो के साथ जातिवाद करते है,Hatespeech
जब तक RSS मे हैं,Not Hatespeech
"भाई तुम्हारे समाज के पास क्या था 1 बीघा जमीन तक नहीं थी
जब संवैधानिक हक मिला तब जाकर आपका समाज कुछ हद तक तरक्की हो पाई।",Not Hatespeech
"Jay bhim
Manuvadiyo par yakin nahi krna",Hatespeech
tum brahmins or baniyo ki ma behano ko chodna padega saale randi ke bacho sudhar nahi hum tum behan betiyo ko chod dalenge,Hatespeech
Sdggv haa me ye ni keh rha ke reservation shi pr st sc me jyadatar lo log garib hi he,Not Hatespeech
Jago dalit jagooo...,Not Hatespeech
​gay siri rem 🏳️‍🌈🏳️‍🌈,Not Hatespeech
Madam first of its wrong whatever u faced....but madam don't u think that reservation is acting as a support for this discrimination nw a day..a guy got 80 n failed whereas other guy got 55 n selected...do u think that guy (nt selected) will feel sad and have a hate feeling towards other,Not Hatespeech
सवर्ण की संख्या बहुत कम दूसरी अधिकतर की स्थिति खराब हैं l कुछ लोगों के जाति के अहंकार में जो कमा खा रहे हैं उनका जीवन नर्क न बनायें l भगवान के चक्कर में इन्सान का सत्यानाश मत करो l,Hatespeech
इस टॉपिक पर बीबीसी वालों को मजा आता है दूसरे देश में हिंसा कनारे में ये लोग अपने देश में कुछ नहीं बोलते,Hatespeech
Jaa oye gaandu,Hatespeech
Fake h Yeh sab brainwash kr rhe h,Hatespeech
बहुत ही शानदार प्रस्तुति हैं ❤,Not Hatespeech
धार्मिक कट्टरता आतंकवाद के समान है,Not Hatespeech
Bilkul sahi Kiya en thakuro ko jina muskil kar do,Hatespeech
BBC news british propaganda channel...,Not Hatespeech
Bbc chuslam ki najayah awlad h,Hatespeech
tumhe pehle sochna chiye tha ur thoda galiya apne baap dadao ko bhi dedo jo free ka maal kye aur cast system banai,Hatespeech
We can't change the past but I can change our religion due to this types of things,Not Hatespeech
Jay bhim namo buddhay,Not Hatespeech
​ koi religion nhi hai path philosophy hai,Not Hatespeech
Jab ap ghodi pe baithne nhi dete to vo kaunsi parampara hai jara batana,Not Hatespeech
JAI BHIM ❤,Not Hatespeech
Baba sahib ki shobha yatra nahi nikalati ki kya mtlb,Not Hatespeech
UN logon jaton Ne bahut achcha kam Kiya dhanyvad unka hai jaisa karoge vaisa milega kya man Ne tumko dudh pilaya bheemrav Ambedkar ki jantri tumne nahin nikaalne Di to Kalash Yatra jaton bhi nahin nikal lenge Dhanya hai ya to bhai aapka court court in Aman,Hatespeech
"Maine suna BBC Hindi ne apne ek SC dalit patrakaar ko nikal dia aur abhi ek bhi SC patrakaar BBC hindi me nhi hai.

To ye ghadiyali aansu kyun. Hr jagah manuwadi bhare pade h.",Hatespeech
Don't show your pain to anyone Be strong sis💪💪💪..... ignore nagative things and negative people.....,Not Hatespeech
Village ne kuchh nhi hota faltu baate nhi,Not Hatespeech
"Many sunnis blasting bombs in shia masjids(recent example of afganistan)
Or ahmedies ko jine ka hi hadikar nhi",Hatespeech
रेगर अभी तुमहे कुछ नहीं मालूम है संघ के बारे में।,Not Hatespeech
So it is recommandable to avoid hanging out with your work friends becz they are not your they are your colleagues and colleague is never a friend. Do your work and get back home dont hang out with them. The more you hang out the more they will try to get who you are.,Not Hatespeech
Jay samrat Ashok Jay bhim⚔️⚔️💪,Not Hatespeech
Many educated SC people has to face such nonsense of Hinduism.. Shame,Hatespeech
If Dalits actually start fighting this so called kshatriyas will start urinating their pants,Hatespeech
"Yup better than piecefuls, creating a message in almost every state of India",Not Hatespeech
दलित चूडिय़ां पहनकर पैदा होता है और चूडिय़ां पहनकर मर जाता है... क्युकी गुलामी ही पसन्द है इनको,Hatespeech
अब समाज जाग रहा है।,Not Hatespeech
Aapne kaffi sensitive subject par sawal khade kiye hai mam selute hai mam aapko,Not Hatespeech
एक दम सही किया दलीत समाज ने जैसे को तैसा अब बस जय भीम जय शिवराय जय संविधान ❤❤,Not Hatespeech
This is the Beauty of Tunatun drum 🥁😂😂..,Not Hatespeech
"सहारनपुर में अब तक 50 से ज्यादा वंचित समाज के चमार घायल हुए है जिनमे सबके ऊपर #तलवार, #बंदूक, और #आगजनी करके हमला किया गया । 2 कि #मौत हुई है वो भी वंचित समाज के , घर जले वो भी वंचित समाज के , लूट हुई वो भी #वंचित समाज के , 70 लोग जेल में हैं वो भी #वंचित समाज के , #ndtv , #zee न्यूज़ और भी #ब्राह्मणवादी मीडिया ये दिखा रहा है कि सब भीम आर्मी करवा रही है। #प्रशासन में बैठे #एसएसपी #सुभाषचंद्रदुबे बयान देते हैं कि ठाकुरों के ऊपर अत्त्याचार हो रहा है। और हैम #उपद्रवियो पर कार्यवाही कर रहे हैं #उपद्रवी यानी #वंचित समाज के बच्चे । अब आप ही बताओ जिसके पास #तलवार है, जिसके साथ #प्रशासन है, जिसके पास #बंदूक है और #पेट्रोलबम है वो #ठाकुर #शांतिप्रिय और जो #संविधानिक तरीके से अपने लिए #इंसाफ मांग रहे हैं वो #उपद्रवी। 
जातिवादी #बीजेपी और जातिवादी #DM, #SSP पर सबसे पहले एकतरफा कार्यवाही के लिए कड़ी सजा मिलनी चाहिए। साथ ही #ब्राह्मणवादी#मीडिया को बैन करने चाहिए।
#UPमेंJANGALRAJ यही है असली #रामराज
कहा गया #मानवाधिकारआयोग #महिलाआयोग #scstआयोग #बीजेपीकेदलितदलाल 
क्या #वंचितसमाज के लिए कोई आयोग है इस देश मे??????????",Hatespeech
You said exact words what I used to say to myself.,Not Hatespeech
"All lower caste people should convert to Buddhism or Christianity. When Brahman religion will be minority in india only then they will understand.
Jai Bhim",Hatespeech
डर कर घर मे  बेठे रहो यए कोई हाल नही ही। ।।  मौत  अंत हे नही  तो मौत से भी क्या डरो ये जाके असमान मे दहाड़ दो।।,Not Hatespeech
😢theek hai matlab hindu insaan ki puja kara ta hain bhagwan bolke 😢,Not Hatespeech
"Jab kisi ko sataoge tabhi toh koi kuch action lega...tumne kudh bola dawe kuchle log..matlb manate ho na ki soshan aur atyachar karte ho tum log. 
Aur bad me sadhu sant bankar bolte ho act galat hai.",Hatespeech
बन गया हिंदुराष्ट्र,Not Hatespeech
mirchpur kand m y chupthe,Hatespeech
जिनके भगवानों को ही मांस मदिरा का भोग लगता हो वो इंसान कैसे हो सकते हैं।,Hatespeech
Job pe log tumhe cast puchate he. Lekin cast se abilities skill n knowledge to dekho.....,Not Hatespeech
0:16 0:18 0:21 0:25 0:27 0:29,Not Hatespeech
"Shut up...
If you facing any difficulties with any laws and regulations then openly come out in front of everyone and if you found innocent then we will also help you..but StOp ⛔🙅 Rubbishness",Not Hatespeech
No Hindu.. only Buddhism wo pahle Buddhist the naki hindu,Not Hatespeech
धार्मिक कलश यात्रा का परमिशन जब नहीं था क्यों निकला ईट का जवाब पत्थर से,Hatespeech
I think u had forget Sikhism started in 1500  and Turkish  invasion came 1100 ?  We rajput defeated we them  16 time ? I they are came through punjab and gujrat regions,Not Hatespeech
Kuch bhi karlo na Dalits ko convert kar paoge na apne sath mila paoge .,Hatespeech
Nand Kumar kishor sahi hai🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 lekin jati system bhi khatm hona chaiye.,Not Hatespeech
Kya hoga isse 🤣🤣🤣🤣,Not Hatespeech
"हम भी पहले दलित थे😂 स्वर्णों ने बहुत नीचा दिखाया
अब मैं मुस्लिम हु और धन्यवाद देता हु मेरे पुरखो का क्योंकि उन्ही की वजह से आज मैं इस्लाम में हू
जहा कोई जात पात का झंझट नहीं
❤ I love islam❤",Not Hatespeech
Ambedkar or Ravidas k paero ko dho ke paani peete the Saharanpur k log jo murdabad bol rhe hai,Hatespeech
Darna nahi hai thakur hai to kya hua,Not Hatespeech
kamse kam vo jinda to hai na use mara to nhi gya,Not Hatespeech
"BRAHAMAN  SAMAJ ,  RAJPUTO. KO. THAKUR. MANTE. HI. NAHI  HE ,SIRF. TELI.I.  SAMAJH TE. HE. OR. SUDRA HI. SAMAJH  TE. HE  OR.  ISI LIYE. INKO. PICHDI. JATI. ME. SHAMIL. KIYA. HE .
  ATHA  ,  RAJPUT. SAMAJ. KE. EK MUKHY. MANTRI. KO. RSS. KE. KARYALY  ME.   KABI  NAHI. GHUSANE. DIYA,,  APMANIT. HOKAR   UNHONE   P ARTY. CHOD  KAR.  SAPA. ME JANE. KO MAJBUR. HO. GAYE THE  PHIR. BHI. RSS. KE. KARYALY. ME. GHUSANE. KA. AVASAR  UNHE. NAHI.  MiLA.    
   ATH. RAJ. PUTO. KO  SAMJHNA. CHAIYE.  KI  UNHE. SIRF. PICHADO.  SE.  PICHDO. KO. LADANE  KE. LIYE. ISTMAL. KIYA. JATA. HE .  (   RAJ PUTO. KA. VAHI. HAL. HE.  TEEN.  KE.  TERAH. KARDE.  OR.   NAM  DAROGA DHAR. DE .) .",Hatespeech
sandesh khali mai dalit hai ek bar vaha v dekh lo ki bbc kitna awaj utyi thi,Not Hatespeech
"RESERVATION BAN😂👌
AUKAAT BATA DI NEECH OR DOGLE KI",Hatespeech
Hidhu darm meaning.four varn,Not Hatespeech
100/right hai ye aaj bhi aam bat hai,Not Hatespeech
Abusing by caste system to anybody is a big crime in India now I think don't know Indians about constitution,Not Hatespeech
सनातन धर्म की खुबसूरती 😂,Not Hatespeech
"मेरे दलित भाइयों। एक जुट रहो। एक दूसरे की खुलकर एक दूसरे दलित भाइयों की मदत करो, खुलकर मदत नहीं कर सकते तो शांतिपूर्ण तरीके से करो। खासकर चुनाव में एक जुट रहो और चंद्रशेखर आजाद को वोट देकर उनको सत्ता में लाओ। मायावती जी को अपना कीमती वोट देकर इधर उधर मत बटो। ऐसा करने से नाही मायावती जी जीतेंगी और नाही चंद्रशेखर आजाद जीतेंगे,इन दोनों में किसी एक को ही सत्ता में लाओ , चंद्रशेखर आजाद को वोट देकर उनको उत्तर प्रदेश का मुख्यमंत्री बनाना है।",Not Hatespeech
सेना मे कितनी संख्या है अम्बेडकर भक्तों की देश की रक्षा हम करे और और राज करेंगे अम्बेडकर वादी आतंकवादि यह नही चलेगा पूरे देश मे सैनिक शासन लागू होगा और मनुस्मृति भी लागू होगा भीड़तंत्र अब खत्म होने वाला है सैनिक तंत्र लागू होने वाला है,Hatespeech
ए जो संघ के पदाधिकारी बोल रहे हैं पीठ पीछे इन्हें जाति के नाम पर गाली अवश्य मिलती होगी।,Not Hatespeech
Bhai Islam mai yahi to khubi hai garib amir sunni siya ek santh ek barabar ek hi masjid mai namaj padh sakte hai koi bhed vhao nhi,Not Hatespeech
ये तो सिर्फ शुरुआत है अभी हर जगह ऐसा ही होगा जय भीम ❤,Not Hatespeech
2024 का RSS राष्ट्र भक्त संघटन हे ~हर मुश्किल घडी मे RSS ने भारत की मदद की हे..,Not Hatespeech
​ are thakurwa chutiye thakurwan lete hai reservation obc me ate bhut si community tumhari jis thali me khayenge usi me ched karenge lodu 😂😂😂,Hatespeech
"Aaj ke Samy par Hindu hona SC. ST. OBC. samaj ka ko dharm ki chatni chahta kar janvaron se batar jindagi   jina hai .
tarkshil Bano andhbhakt nahi.
Jago bahujan Jago 🙏🙏🙏",Hatespeech
"ठाकुर समाज के लोग ऐसे बात कर रहे है जैसे इन लोगों जैसा कोई अच्छा इंसान है ही नहीं।
क्या यदि अम्बेडकर जयंती की शोभा यात्रा नहीं निकला है तो कभी निकलेगा ही नहीं।
शर्म करो ठाकुर समाज के कुछ उपद्रवियों लोग।
यदि तुम लोगों के लिए भागवत गीता धार्मिक है तो हम लोगों के लिए भी बाबा साहेब का जन्मदिवस धार्मिक है।",Hatespeech
"Why enter a place where you are not welcomed wholeheartedly?
Go to the place of worship where you are welcomed wholeheartedly and treated as equal.",Not Hatespeech
ऐसा ही हम लोगों को उल्लू बना बनाकर ब्राह्मण लोग हमारे मूल निवासियों को पीछे धाकड़ के राज चलारहा है जय जोहार जय आदिवासी,Hatespeech
Camtto ओबीसी को अपने साथ मत जोड़ों,Hatespeech
जाटव समाज को सलाम ❤ महाराष्ट्र से सलाम करता हु आपको ❤,Not Hatespeech
Aisa nhi h bhai apke man jyada hi badha chadha kr jahar bhar diya gya h hmare yha sab mil julkar rhte h,Not Hatespeech
yes why not...wild people,Hatespeech
बहुत ही अच्छा किया है भाइयों और बहनों ने 🫡👍 अब आगे से ऐसे ही होगा,Not Hatespeech
To laxman nam kyu rakha hai bewkuf tabhi tum logo ka ye hal hai,Hatespeech
"main bhi general and maine jaatiwad dekha hai. Reservation ka excuse deke. Waise SC se jyada mujhe OBC reservation se gussa hai. Inko kyu mili? lekin jaatiwad ke karan OBC se koi kuch nahi bolta, SC ko bolte hai!",Hatespeech
सब मुर्ख है हमलोग मुस हर पासी को ५०० दे कर चमार को पिट वा देते हाथ गन्दे नही होते,Hatespeech
Sahi kiya dalit to ke sath,Hatespeech
Maximum andhbhakt from obc,Hatespeech
Duniya me koi God nhi h,Not Hatespeech
OBC bhaiyo aaplog beech mein mat aaiye ham SC ST enn savarno ko dekh lenge,Hatespeech
Sari bate to media bata raha hai,Not Hatespeech
how am i casteist Alextom ji,Not Hatespeech
Kya oochh aur nich ki baaat kar rahe hey yeh log kya dalit insan nahi hey kya dalit bahar ke desh se Aaaya kya dalit Indian nahi hey kyu dalit ko nich lahe kar uska Upman kiya jata hey,Hatespeech
Isi act ki bajah se gali galoj thodi kam ho gayi atyachar soshan...warna tum toh hag bhi dete aur kahte hm innocent hai..and they are untouchable jbki hga tumne.,Hatespeech
bro wo log rajput hai. Unke connection hote hai wo bail le lenge aur fir hum ko fir pareshan karenge,Hatespeech
After SC st act no one talk about these things and u also use reservation don't use this for ur propoganda abhi bhi batana chahate ho 🙏.,Not Hatespeech
30 tum logo ki aukat nahi hai ab,Hatespeech
Are kya enki kalash yatra yrr thoda tho dimag se socho tum bhi tho hindu hi ho mere dalit bhai aur bagwan ke kam me kyo ladai bagwan se bada koi nahi Jai Shree Ram,Not Hatespeech
Dalit Hindu nhi hai,Not Hatespeech
BC up walay jaat paat he kartay rah jaogay.,Hatespeech
"kya din aagaya today bhim army, next thakur army, then jat army ,afterwards saini army and yadav army . where is the country going",Not Hatespeech
"Rss me jo bhi dalit h wo nageli se lekr fulandevi, se lekr Hathras, unnav ho aay, or dalit rss ka pramukh kb bnega puch le...?",Hatespeech
I don't know why people not understanding that bhagwat ji said varna karam vibhashtam means you are upper or lower by work ...,Not Hatespeech
S Your points are worth consideration. https://youtu.be/midre-Os8CI,Not Hatespeech
Bhaio milkar rahoo,Not Hatespeech
"Tara uper kitna jute kasa lage 
Tara khana ta band ho jye go",Hatespeech
Paramparaye keval thakur samaj ke logo ke liye hi hai kya dalito ki aastha ka kya,Hatespeech
"Govt job wale PhD kar lete hai, comment karne ki kya baat hai, I have two bachelor degrees in different disciplines",Not Hatespeech
Tum log jaynti nahi manane dete to ham bhi nahi manane dege kuchh atha nahi sab dog hai jay bhim,Hatespeech
मदरसा शिक्षण वाले की तरह भारत में बॉम्ब नाही फोडा करता RSS...,Hatespeech
to mujhse bhi बड़ा andhbhaqt hai Jo Pakistan Bangladesh ke dalito ko maar maar ke bhagaya ja Raha h Jo 1947 se is desh me sarnarthi bana hua h lekin swarno se ladai ke chakar me musalmano ke sath khade hote ho😆😆😆😆😆,Hatespeech
बिना परमीशन सालों को मुहल्ले में मत घूमने देना 😂😂।ये दलितों की सुँन्दर लड़कियों को अपने जाल में फसाकर बर्बाद करते हैं,Hatespeech
agar bhai tujhe itta hi dikkat he to dalito ko apne sath bitha kabhi ..unko bhi izzat chaiye tujhe to mil gyi na tere purkho se,Hatespeech
isko puso rastpati ko ram mander me nahi jane deya kyo jab unka pura kabja ho jaye ga tab dikhna jo jis jati ka hoye ga usko voi kam mile ga tum pad kar apsar nahi ban sakte,Hatespeech
Obc ki population sabse jaada hai inpe hi laage. Saale gaddar hai ye dosto par lagwa dete hai. Inse dosti bekar hai,Hatespeech
Aarakshan se naukriya chaye toh jaati Ka certificate baag k bnaege,Not Hatespeech
"मुस्लिम मे भी असंख्य पोट जाती हे...सुन्नी मुस्लिम शिया को बम से उडा रहा,काट रहा बलात्कार कर रहा...",Hatespeech
Dalit apni aukat bhul gaya hai jo Musalman Inko Jyada Samman Diya Usi ke upar hi Hath uthate Inka Yahi Hasil hone wala hai aaj Nahin to cal,Hatespeech
"मतलब महापुरुषोंकी जयंती नही करणी चाईये,और पाखंड वाद चलेगा ऐसे कैसे चलेगा, जिस महापुरुषां के वजहसे ठाकूर, ब्राह्मण, और सुवर्ण समाज कि औरते शिक्षा ले कर बडे बडे पद पर बैठी है जो सब को समान अधिकार दिलाया है उसी कि जयंती नही करणे दे रहे यह तो जातीयवाद हि हुआ ना",Not Hatespeech
कुछ लोग गाय हत्या करते हैं और इस गाय का मूत्र भी पीते हैं इस गाय का दूध भी पीते हैं कुछ तो गाय का गोबर भी खा लेते हैं तो ये लोग रक्षक है या भक्षक,Hatespeech
"Bludy BBC, always a British dog, always what to divide and rule people 😡",Hatespeech
"I am an Atheist. I do not believe in the existence of God. There is no testable evidence to support the belief in any gods or supernatural entities. I rely on science, reason, logic, and empirical evidence to form my worldview and have not found compelling evidence or arguments to support the existence of God. The universe is governed by natural laws and forces, rather than moral, spiritual, or supernatural ones. As an atheist, I reject religious dogma, supernaturalism, and superstition as the basis of morality and decision-making. I emphasize the social and empirical nature of inquiry and prioritize scientific solutions to intellectual problems. There is an intrinsic intellectual conflict between faith and science, and that it inevitably leads to hostility. I am engaged in a continually evolving search for truth, primarily through science and philosophy.",Not Hatespeech
सब इन का इस्तेमाल करना है नेताओ का,Not Hatespeech
Dikha tha kitna mahan samajhte ho 😅,Not Hatespeech
Pakistan se tumko kya lene dena hai pakistan Tumhare risdar hai,Not Hatespeech
Usne khud btaya RSS me bhedbhav nhi hai l💯🙏🕉,Not Hatespeech
हिंसा पर रोक,Not Hatespeech
"Mujhe(sc)  bhi kuch aisa hi laga..i me caste feeling toh hai logo me but itna nhi hota ki log bhag jaye chod kar,mere sath toh ulta hai..jab bhi maine caste batai mere sath aur log jude",Not Hatespeech
bol fudi dya?,Hatespeech
Ye Sab Bjp Aur aur Meediya Ka Kamal hai.. Aur kuch Nahi,Not Hatespeech
"दलितों को अलग अलग धर्म में बाटकर दलितों को कमजोर करने का प्रयास है जातिवादी कुत्तों की दलितों को धर्म परिवर्तित न करके अपना दलित धर्म बनाना चाहिए,एक दिन ऐसा आएगा जब दलित आदिवासी अपना धर्म परिवतित कर लेगे और हिंदू धर्म अपनी कब्र में चला जायेगा",Hatespeech
Moj ker di,Not Hatespeech
"Ab samay h ki europe america ki tarah police ko weapon mile shoot karne ko
Lekin hamare samajwadi desh me  reservation h jo nation emergency services me nhi hona chahiye kyuki
Low boudhik log low ethical value wale ho sakte h
 jo khud system ya vyaktigat ko nuksaan kar sakte h (dushmani,sucna leak karna etc

Ab samjhe 😊

Neta logo ne reservation kyu rkha

 jabki education health ki free suvidha desh k samajhdar log rakh rhe the

Kyuki un murkho ki sankhya jyada thi

Indira gandhi jaisi strong will power ki nhi chalne di

Vajpaye ki sadak jal jodo parmanu nitiyaab kaam aa rhi h

Ab modi k baad koi bharose layak nhi
Tabhi dekh lo sab magarmach asurik or chor ek saath h usko girane me

Hurdang danga fasad kewal use asthir karne ko
Rajasthan MP UP me modi ne CM banaye h lekin ye chor khub Halla gulla kar rhe in swarthi logo ka astitv khatre me h",Hatespeech
Bhardwaj aur sc  ha ha ha,Hatespeech
​ ho gaya bhai 😂😅,Not Hatespeech
All Indian will become salve again soon in 2025,Hatespeech
"जय छोटा भीम 
 Gay Bhim 
Gay mohmmad true",Hatespeech
"Rajput samaj ko mafi mangana chaiye pahle u hone 14 April ko roya tha
Ambedkar ka apman jo bhi karega hum unka virodh karenge
Jay bhim",Not Hatespeech
True Sanatani spreading their religion Satanically.,Hatespeech
Jai bheem...jai shavidhan🙏,Not Hatespeech
"Thakuro ko hi galat dikhao tum, Saalo Jiski Maut hui hai Wo Ek Thakur hi hai.",Hatespeech
बहुत सही किया है,Not Hatespeech
Ye sab Ambedkar ki tulana bhagwan se tulana karate hai,Not Hatespeech
"लोग नवसृजन की बात कर रहे हैं,कहाँ चली जाती है लोगो अंदर की अच्छी छवियां जब वो लोग सरकार को गालियाँ देते हैं और किस आधिकार से बोलेगे,जब ऐसे गलतिया होती हैं,तो।।",Not Hatespeech
Ye sab manuwadiyon ki soch hoti h ap aage badhte raho himmat mat harna kabi slute you sissu,Hatespeech
Jay Rajputana ✨🚩💪💪💪😈🚩😈🚩😈🚩😈😈,Hatespeech
Go raskh hain ye MC hain,Hatespeech
😂. Then when emergency no bloods group are going to be discriminative by CASTE ?????? 😊.,Hatespeech
Acha huva 😂😂😂👍👍👍,Not Hatespeech
Just like no difference between Maharana pratap and Akbar 😂😂,Not Hatespeech
aarakshan khatam Karo aur yadi phir bhi jaativaad khatam nhi hora toh humme ek alag desh dedo. Desh ki akhandta ka zikra mat karna uske paschaat. Tisre vishvayudha me milege.,Hatespeech
Accha matalb jo log leather se jacket bante hai jute bante hai unki swal karte ho beef burger banke is desh beche jata hai uspe swal karte ho cow mata Tumhare hai dusro ki nahi doglepan kam kia kark thoda vo uska livelihood chahte hai uska us cheez se Tumhare tarha dhram ki naam pe tekhdari nahi  chalti kisi kisi doglepan kam kar lo thoda,Hatespeech
in hinduon ke sath aisa hi hona chahie jaise hamare sath  kiya karte the,Hatespeech
​जय आम जय पाम जय thela,Not Hatespeech
Ambedkar L par,Not Hatespeech
Vasaram bhai ne bahut sahi decision liya ❤,Not Hatespeech
I whole heartedly welcome them to leave hinduism 😂😂😂😂. Because they are not hindus 😊😊. They eat cow so how can they are hinus 😂😂,Hatespeech
sister be brave and just raise your voice against hindo.s atrocities,Hatespeech
mai bilaspur chhattisgarh se mere gao me 85 parsent dalit samaj ke log hai lekin aaj tak humne kisi se bhed baw nahi kia,Not Hatespeech
Bahut achha kiya ❤❤,Not Hatespeech
"You should use reservation,
u earn this.

and the day when discrimination will end...reservation will be automaticly end.",Not Hatespeech
kyu woh Hindu nahi h??,Not Hatespeech
1:21 यार जब उन लोगों के बच्चे दारु दारु पीते हैं तो यह कलश यात्रा क्यों निकालते हैं ।।।😂😂।। ओ लिट दारू क्यों पीते हैं भाई😂😂।। दारू पीकर हुडदंगई करते होगे।।।😂😂।। इसीलिए इन लोगों ने।। रास्ता रोक दिया लगता है😮😂😂😂,Hatespeech
Love you bhai,Not Hatespeech
नीलाड अंबेडकर ज्ञान दे रहा है जाकर दारु पी,Hatespeech
